"Earnings Per Share, Basic",Ticker,Fiscal Year,Fiscal Period
2.33917,ABMD,2022,Q2
-14.74201,ABNB,2020,Q4
-1.93313,ABNB,2021,Q1
-0.1125,ABNB,2021,Q2
1.34245,ABNB,2021,Q3
0.08383,ABNB,2021,Q4
-0.02985,ABNB,2022,Q1
0.60183,ABNB,2022,Q2
1.90206,ABNB,2022,Q3
0.266,ABR,2019,Q1
0.32145,ABR,2019,Q2
0.35948,ABR,2019,Q3
0.3491,ABR,2019,Q4
-0.53533,ABR,2020,Q1
0.39813,ABR,2020,Q2
0.72075,ABR,2020,Q3
0.80553,ABR,2020,Q4
0.55479,ABR,2021,Q1
0.51106,ABR,2021,Q2
0.51045,ABR,2021,Q3
2.03367,ABR,2021,Q4
0.43311,ABR,2022,Q1
0.42879,ABR,2022,Q2
0.36839,ABR,2022,Q3
-2.44015,ABSI,2021,Q2
-0.32306,ABSI,2021,Q3
-0.09948,ABSI,2021,Q4
-0.32855,ABSI,2022,Q1
-0.31631,ABSI,2022,Q2
-0.2992,ABSI,2022,Q3
0.53957,ABT,2016,Q4
0.24257,ABT,2017,Q1
0.16258,ABT,2017,Q2
0.34577,ABT,2017,Q3
-0.47367,ABT,2017,Q4
0.23839,ABT,2018,Q1
0.41696,ABT,2018,Q2
0.31995,ABT,2018,Q3
0.37139,ABT,2018,Q4
0.38111,ABT,2019,Q1
0.56866,ABT,2019,Q2
0.54189,ABT,2019,Q3
0.59331,ABT,2019,Q4
0.31884,ABT,2020,Q1
0.30287,ABT,2020,Q2
0.69426,ABT,2020,Q3
1.21768,ABT,2020,Q4
1.00909,ABT,2021,Q1
0.66916,ABT,2021,Q2
1.18759,ABT,2021,Q3
1.12482,ABT,2021,Q4
1.3876,ABT,2022,Q1
1.15252,ABT,2022,Q2
0.81943,ABT,2022,Q3
0.12685,ABTL,2016,Q4
0.0439,ABTL,2017,Q1
0.02918,ABTL,2017,Q2
0.0055,ABTL,2017,Q3
-5.21289,ABTL,2017,Q4
-0.81469,ABTL,2018,Q1
-0.40993,ABTL,2018,Q2
-1.41031,ABTL,2018,Q3
-0.40991,ABTL,2018,Q4
-0.4128,ABTL,2019,Q1
-0.37948,ABTL,2019,Q2
-0.1313,ABTL,2019,Q3
-0.24433,ABTL,2019,Q4
-0.3089,ABTL,2020,Q1
-0.10472,ABTL,2020,Q2
-0.03409,ABTL,2020,Q3
-0.07115,ABTL,2020,Q4
0.02339,ABTL,2021,Q1
-0.02294,ABTL,2021,Q2
-0.23114,ABTL,2021,Q3
-0.20388,ABTL,2021,Q4
-0.32839,ABTL,2022,Q1
-0.33588,ABTL,2022,Q2
-4.01039,ABUS,2016,Q4
-0.34299,ABUS,2017,Q1
-0.33404,ABUS,2017,Q2
-0.21137,ABUS,2017,Q3
-0.66916,ABUS,2017,Q4
-0.35889,ABUS,2018,Q1
0.00996,ABUS,2018,Q2
-0.48787,ABUS,2018,Q3
-0.37656,ABUS,2018,Q4
-0.46584,ABUS,2019,Q1
-0.45901,ABUS,2019,Q2
-1.50018,ABUS,2019,Q3
-0.46695,ABUS,2019,Q4
-0.24879,ABUS,2020,Q1
-0.24533,ABUS,2020,Q2
-0.27326,ABUS,2020,Q3
-0.23362,ABUS,2020,Q4
-0.2097,ABUS,2021,Q1
-0.24245,ABUS,2021,Q2
-0.2495,ABUS,2021,Q3
-0.1927,ABUS,2021,Q4
-0.15565,ABUS,2022,Q1
-0.09541,ABUS,2022,Q2
-0.11634,ABUS,2022,Q3
0.14679,AC,2016,Q4
-0.54883,AC,2017,Q1
0.19304,AC,2017,Q2
0.06371,AC,2017,Q3
0.66695,AC,2017,Q4
-0.94559,AC,2018,Q1
0.51231,AC,2018,Q2
-0.32112,AC,2018,Q3
-1.77497,AC,2018,Q4
1.02493,AC,2019,Q1
-0.04133,AC,2019,Q2
0.26432,AC,2019,Q3
0.49537,AC,2019,Q4
-3.26879,AC,2020,Q1
1.57456,AC,2020,Q2
0.26014,AC,2020,Q3
2.33175,AC,2020,Q4
0.83498,AC,2021,Q1
1.33723,AC,2021,Q2
0.06788,AC,2021,Q3
0.43227,AC,2021,Q4
-0.73376,AC,2022,Q1
-1.35628,AC,2022,Q2
-0.74957,AC,2022,Q3
0.06557,ACA,2018,Q3
0.56762,ACA,2018,Q4
0.57829,ACA,2019,Q1
0.66388,ACA,2019,Q2
0.68697,ACA,2019,Q3
0.43776,ACA,2019,Q4
0.66109,ACA,2020,Q1
0.69375,ACA,2020,Q2
0.6473,ACA,2020,Q3
0.21875,ACA,2020,Q4
0.33125,ACA,2021,Q1
0.43333,ACA,2021,Q2
0.4917,ACA,2021,Q3
0.19087,ACA,2021,Q4
0.41909,ACA,2022,Q1
0.80745,ACA,2022,Q2
0.66253,ACA,2022,Q3
-0.64887,ACAD,2016,Q4
-0.72209,ACAD,2017,Q1
-0.55224,ACAD,2017,Q2
-0.53271,ACAD,2017,Q3
-0.55477,ACAD,2017,Q4
-0.43532,ACAD,2018,Q1
-0.50649,ACAD,2018,Q2
-0.49707,ACAD,2018,Q3
-0.49733,ACAD,2018,Q4
-0.59247,ACAD,2019,Q1
-0.3807,ACAD,2019,Q2
-0.28766,ACAD,2019,Q3
-0.34311,ACAD,2019,Q4
-0.56655,ACAD,2020,Q1
-0.26921,ACAD,2020,Q2
-0.53532,ACAD,2020,Q3
-0.41915,ACAD,2020,Q4
-0.41527,ACAD,2021,Q1
-0.27417,ACAD,2021,Q2
-0.09055,ACAD,2021,Q3
-0.26325,ACAD,2021,Q4
-0.7028,ACAD,2022,Q1
-0.21039,ACAD,2022,Q2
-0.16795,ACAD,2022,Q3
-0.06412,ACAN,2016,Q4
-0.02826,ACAN,2017,Q1
-0.02681,ACAN,2017,Q2
-0.02433,ACAN,2017,Q3
-0.06579,ACAN,2017,Q4
-0.07097,ACAN,2018,Q1
-0.0476,ACAN,2018,Q2
-0.06613,ACAN,2018,Q3
-0.0385,ACAN,2018,Q4
-0.02386,ACAN,2019,Q1
-0.02431,ACAN,2019,Q2
-0.02408,ACAN,2019,Q3
-0.13919,ACAN,2019,Q4
0.04331,ACAN,2020,Q1
-0.01787,ACAN,2020,Q2
-0.02082,ACAN,2020,Q3
-0.03479,ACAN,2020,Q4
-0.0212,ACAN,2021,Q1
-0.01283,ACAN,2021,Q2
-0.00418,ACAN,2021,Q3
0.00178,ACAN,2021,Q4
-0.02232,ACAN,2022,Q1
0.001,ACAN,2022,Q2
0.00667,ACAN,2022,Q3
0.00708,ACAN,2022,Q4
-2.85153,ACAT,2016,Q3
0.21619,ACC,2019,Q1
0.07566,ACC,2019,Q2
0.14718,ACC,2019,Q3
0.1799,ACC,2019,Q4
0.58813,ACC,2020,Q1
-0.09697,ACC,2020,Q2
-0.14179,ACC,2020,Q3
0.18024,ACC,2020,Q4
0.11341,ACC,2021,Q1
-0.06811,ACC,2021,Q2
-0.08224,ACC,2021,Q3
0.30045,ACC,2021,Q4
0.28141,ACC,2022,Q1
0.05669,ACCO,2016,Q4
0.03324,ACCO,2017,Q1
0.21461,ACCO,2017,Q2
0.28307,ACCO,2017,Q3
0.69484,ACCO,2017,Q4
0.09738,ACCO,2018,Q1
0.24222,ACCO,2018,Q2
0.34297,ACCO,2018,Q3
0.34146,ACCO,2018,Q4
-0.00587,ACCO,2019,Q1
0.35439,ACCO,2019,Q2
0.28689,ACCO,2019,Q3
0.44938,ACCO,2019,Q4
0.08333,ACCO,2020,Q1
0.05708,ACCO,2020,Q2
0.19915,ACCO,2020,Q3
0.31501,ACCO,2020,Q4
-0.21451,ACCO,2021,Q1
0.51104,ACCO,2021,Q2
0.2113,ACCO,2021,Q3
0.55962,ACCO,2021,Q4
-0.02818,ACCO,2022,Q1
0.40956,ACCO,2022,Q2
-0.72698,ACCO,2022,Q3
-0.69759,ACER,2016,Q4
-0.37807,ACER,2017,Q1
-0.27681,ACER,2017,Q2
-2.61092,ACER,2017,Q3
-0.63184,ACER,2017,Q4
-0.53133,ACER,2018,Q1
-0.64495,ACER,2018,Q2
-0.43318,ACER,2018,Q3
-0.84364,ACER,2018,Q4
-0.78997,ACER,2019,Q1
-1.0942,ACER,2019,Q2
-0.52019,ACER,2019,Q3
-0.51077,ACER,2019,Q4
-0.49011,ACER,2020,Q1
-0.55672,ACER,2020,Q2
-0.51444,ACER,2020,Q3
-0.49911,ACER,2020,Q4
-0.10701,ACER,2021,Q1
-0.22551,ACER,2021,Q2
-0.22872,ACER,2021,Q3
-1073.67052,ACER,2021,Q4
-0.64143,ACER,2022,Q1
-0.17462,ACER,2022,Q2
-0.3112,ACER,2022,Q3
-35.69133,ACET,2017,Q4
-3.2055,ACET,2018,Q1
-3.38677,ACET,2018,Q2
-2.09496,ACET,2018,Q3
-1.43528,ACET,2018,Q4
-2.66967,ACET,2019,Q1
-3.61545,ACET,2019,Q2
-4.04832,ACET,2019,Q3
-6.63556,ACET,2019,Q4
-1.35138,ACET,2020,Q1
-1.07506,ACET,2020,Q2
-4.72739,ACET,2020,Q3
-0.45453,ACET,2020,Q4
-2.91244,ACET,2021,Q1
-0.37456,ACET,2021,Q2
-0.43917,ACET,2021,Q3
-0.42011,ACET,2021,Q4
0.13618,ACET,2022,Q1
-0.56239,ACET,2022,Q2
-0.52821,ACET,2022,Q3
-0.01878,ACET_delis,2017,Q2
0.16072,ACET_delis,2017,Q3
0.0565,ACET_delis,2017,Q4
0.01298,ACET_delis,2018,Q1
-0.39375,ACET_delis,2018,Q2
-5.56977,ACET_delis,2018,Q3
-2.99861,ACET_delis,2018,Q4
-0.59436,ACET_delis,2019,Q1
-0.62793,ACET_delis,2019,Q2
0.48246,ACHC,2016,Q4
0.40292,ACHC,2017,Q1
0.57075,ACHC,2017,Q2
